layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
11,3,14,1.0501342184013789,0.030935087388593102,3
11,4,15,0.3576458940903346,0.12693024731802963,3
12,1,1,0.8231228987375895,0.10210332284603307,3
12,1,2,1.190810951921675,0.05153643547099112,3
12,2,3,0.5846298502551185,0.3969205493127826,3
12,1,4,1.1114951173464458,0.07736157515451,3
12,2,5,0.7723315805196762,0.06445663333498329,3
12,2,6,1.0300302985641692,0.03304722441573986,3
12,3,7,0.7120616071754031,0.0642467885194726,3
12,1,8,1.1164636744393241,0.08365936119132499,3
12,2,9,0.8338004334105387,0.023871453345703213,3
12,2,10,1.028457502524058,0.14094396199634135,3
12,3,11,-0.44616413778728914,1.2539898206156261,3
12,2,12,1.0863933165868123,0.04428482462318771,3
12,3,13,0.7048660135931439,0.04861710428854299,3
12,3,14,0.9950401493244702,0.0745051087145312,3
12,4,15,0.3667415115568373,0.1285083607511997,3
13,1,1,0.8378270864486694,0.11799015959541657,3
13,1,2,1.213969452513589,0.08004270697155623,3
13,2,3,0.5420938862694634,0.3493521011984911,3
13,1,4,1.0631861289342244,0.1029340579333605,3
13,2,5,0.7470375266340042,0.06391205727696943,3
13,2,6,1.0577173249589071,0.05416609925451056,3
13,3,7,0.46445239583651227,0.2917398384608203,3
13,1,8,1.1488254467646282,0.05594630417114469,3
13,2,9,0.843596167034573,0.021109571403707197,3
13,2,10,0.9964009258482193,0.12663706181539092,3
13,3,11,0.012131063474549175,0.7879119301159915,3
13,2,12,0.9992265502611796,0.06347814720043178,3
13,3,13,0.7586760156684451,0.02138911326559775,3
13,3,14,0.9851591322157119,0.06077201276577536,3
13,4,15,0.4734794348478317,0.1863092075092861,3
14,1,1,0.8960692882537842,0.06358789520740216,3
14,1,2,1.192981517977185,0.010385959241761977,3
14,2,3,0.7853011389573415,0.025752277432331924,3
14,1,4,1.0260160863399506,0.15102391721684613,3
14,2,5,0.8034886883364782,0.07191586308564231,3
14,2,6,1.0137196431557338,0.05522610872804285,3
14,3,7,0.6496545655859841,0.13643312949791686,3
14,1,8,1.0939321617285411,0.03924972036999656,3
14,2,9,0.8246663527356253,0.03346221212211077,3
14,2,10,1.0247679319646623,0.11405975490738036,3
14,3,11,0.24870961573388842,0.32763432990152935,3
14,2,12,0.965924600760142,0.08182535757327102,3
14,3,13,0.6811430056889852,0.03974251709997028,3
14,3,14,1.0631008264091282,0.02087865070463527,3
14,4,15,0.4570774800247616,0.16279843860384371,3
15,1,1,0.8143944872750176,0.07527819824162572,3
15,1,2,1.2390694618225098,0.08067050641422152,3
15,2,3,0.8311681648095449,0.032378842063260915,3
15,1,4,0.978488028049469,0.11182362077304621,3
15,2,5,0.782723531126976,0.13801055579030422,3
15,2,6,1.0631712956560984,0.050438512993677624,3
15,3,7,0.576072269015842,0.07958581242248043,3
15,1,8,1.0641444391674464,0.0916355754979776,3
15,2,9,0.8439468940099081,0.03267714154800086,3
15,2,10,1.0025689502557118,0.10486773278609245,3
15,3,11,0.1418252752886878,0.2772752985717582,3
15,2,12,1.0237386292881436,0.04053145587028551,3
15,3,13,0.7450605630874634,0.011297183891056214,3
15,3,14,0.9749478151400884,0.07177664313242231,3
15,4,15,0.39990099933412343,0.15368014118746753,3
16,1,1,0.836998873286777,0.04926187266213645,3
16,1,2,1.1285585363705952,0.04939492422950704,3
16,2,3,0.43056041664547395,0.5136760780140102,3
16,1,4,0.6535142395231458,0.4119304010083792,3
16,2,5,0.7461722758081225,0.03814593940102727,3
16,2,6,1.0760717391967773,0.040185258481021564,3
16,3,7,0.5361293363902304,0.06729118049522831,3
16,1,8,1.0751313103569877,0.052541129155095935,3
16,2,9,0.8541083335876465,0.05396669696293499,3
16,2,10,1.0891340755754049,0.029795806523061113,3
16,3,11,-0.006756704714563161,0.501897067040374,3
16,2,12,0.9957444667816162,0.06413557535495808,3
16,3,13,0.7019844353199005,0.12930290338440292,3
16,3,14,1.066232310401069,0.04410633501976222,3
16,4,15,0.6271381311946445,0.03328971129117326,3
17,1,1,0.8272795114252302,0.06933589725953071,3
17,1,2,1.1994912326335907,0.024156426670760185,3
17,2,3,0.46470719907018876,0.2649863518638904,3
17,1,4,0.9729611145125494,0.11798883070058039,3
17,2,5,0.6905565477079816,0.028688568892770546,3
17,2,6,1.0426115848951871,0.04039409219443525,3
17,3,7,0.5140634112887913,0.0810078227540046,3
17,1,8,1.070245431529151,0.10088389217969143,3
17,2,9,0.867125365469191,0.07887353078778095,3
17,2,10,0.9864790754185782,0.09790684849689953,3
17,3,11,0.3956101081437535,0.12163310081535399,3
