layer,order_k,subset_mask,score_mean,critic_seed_sd,score_min,score_max,mean_best_val,mean_best_step,mean_final_training_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
6,2,5,0.613728404045105,0.061946926642981466,0.5571380853652954,0.6799125274022421,0.6572419305642446,841.6666666666666,941.6666666666666,0.29959409447384444,2.180065155029297
6,2,6,0.8866462028688855,0.039492153960218025,0.8496882071097692,0.92825980981191,1.0760162423054378,950.0,1000.0,0.41076264928129386,5.051980654398601
6,2,9,0.7976580146286222,0.07795005607101287,0.7464084575573603,0.8873633941014608,0.7781584585706393,891.6666666666666,1000.0,0.2478296394323881,3.2028636932373047
6,2,10,0.7544356808066368,0.061550584568350324,0.683536892135938,0.7941857477029165,0.9813426757852236,700.0,908.3333333333334,0.264945988999405,3.8072685400644937
6,2,12,0.934895783662796,0.10221660119920137,0.842528223991394,1.0447145303090413,0.8505455205837885,933.3333333333334,1000.0,0.1840740323550163,4.444886843363444
6,3,7,0.631971408923467,0.04713214533924837,0.5939344565073649,0.6846994062264761,0.7105555422604084,916.6666666666666,1000.0,0.39420724553811953,3.2321075598398843
6,3,11,0.5182203948497773,0.1484735786676935,0.3529042402903239,0.640214592218399,0.8298343221346537,858.3333333333334,1000.0,0.6826418138588154,3.3501697381337485
6,3,13,0.6935746636655594,0.03470954338221748,0.6670467853546143,0.7328569839398066,0.7779624760150909,891.6666666666666,1000.0,0.2841164549404313,2.7037646770477295
6,3,14,0.8724438365962771,0.05527038503009048,0.8357995351155599,0.9360176374514898,0.938158484796683,891.6666666666666,1000.0,0.40498684696059284,4.928734143575032
6,4,15,0.6739178424080213,0.10642078524272829,0.551180899143219,0.7404935782154402,0.7377060179909071,841.6666666666666,941.6666666666666,0.3003493668956701,3.592994292577108
7,1,1,0.8221826288435193,0.08324039616042266,0.7337974707285563,0.8990862369537354,0.7823775857686996,925.0,1000.0,0.3553736635386539,2.682774066925049
7,1,2,1.0188530617290075,0.05156111651678394,0.9675323565800985,1.0706512729326885,1.2452757308880489,900.0,1000.0,0.3941240697224249,5.676234881083171
7,1,4,1.048631015751097,0.060965412911245395,1.0124491651852925,1.1190185646216075,1.0871693193912506,958.3333333333334,1000.0,0.2268559120444119,4.697873751322429
7,1,8,0.990254110760159,0.04210374729643004,0.9550392230351766,1.0368901491165161,1.0100112011035283,875.0,966.6666666666666,0.18976099415670658,4.376208941141765
7,2,3,0.6589675363567141,0.03451672032125539,0.6213614543279012,0.6892047772804896,0.8154856736461321,950.0,1000.0,0.4901586481079598,3.7163724104563394
7,2,5,0.6640561785962847,0.04534337058863144,0.6217946112155914,0.7119543155034384,0.691364087164402,950.0,1000.0,0.2952797950360764,2.419736305872599
7,2,6,0.9401464611291885,0.020058326883263936,0.9217041283845901,0.9615021546681722,1.094735103348891,958.3333333333334,1000.0,0.42826525697242274,5.447982947031657
7,2,9,0.8530992782778211,0.05287588950884306,0.7920737266540527,0.8852767546971639,0.8182126507163048,941.6666666666666,1000.0,0.27679735865266697,3.463876167933146
7,2,10,1.0096824963887532,0.02771936281595231,0.9830960035324097,1.0384105046590169,1.0721428841352463,975.0,1000.0,0.3335882082740003,5.0148599942525225
7,2,12,0.9981448021199969,0.08439204229085277,0.947976311047872,1.0955779155095418,0.863462803264459,841.6666666666666,991.6666666666666,0.14882395511428512,4.587862014770508
7,3,7,0.6685026486714681,0.0042375192905022415,0.6638531237840652,0.6721476415793101,0.7379332259297371,950.0,1000.0,0.3694209726458419,3.389662583669027
7,3,11,0.4788372980223761,0.13472424300824487,0.3572210172812144,0.623655746380488,0.811056099832058,891.6666666666666,1000.0,0.532244251025455,3.6447951793670654
7,3,13,0.698086784945594,0.0510093146802424,0.6588970820109049,0.7557614942391714,0.7201293210188547,766.6666666666666,991.6666666666666,0.276368401386246,2.4298110008239746
7,3,14,0.9004279466138946,0.017004182023954602,0.8883946314454079,0.9198811848958334,0.9043939610322317,975.0,1000.0,0.34881904322314644,5.1218803723653155
7,4,15,0.6490493441621462,0.07539091144292932,0.56663578748703,0.7145417928695679,0.7698282400767008,950.0,1000.0,0.319169891907308,4.086651245752971
8,1,1,0.8363287680678898,0.06539772521734248,0.7608656783898672,0.8764798243840536,0.7818756476044655,950.0,1000.0,0.39688983639507797,2.713827133178711
8,1,2,1.1223097443580627,0.06332226024354506,1.0492749611536663,1.1618518630663555,1.2965554396311443,908.3333333333334,1000.0,0.39867603704382887,5.804379940032959
8,1,4,1.0578781896167333,0.025167731208503383,1.0289172331492107,1.0744471947352092,1.103828713297844,975.0,1000.0,0.23264263405528193,4.7931521733601885
8,1,8,1.0617879297998216,0.026457396814230028,1.0331284801165264,1.085281213124593,1.050958717862765,866.6666666666666,1000.0,0.20094645565756145,4.2658610343933105
8,2,3,0.7697740793228149,0.06240230525766783,0.6977251768112183,0.8066728512446085,0.8454350754618645,866.6666666666666,991.6666666666666,0.42273816269183845,3.5590328375498452
8,2,5,0.584181398153305,0.023157959527467024,0.5646695593992869,0.6097726325194041,0.6155708755056063,850.0,975.0,0.2887943732980516,2.326113303502401
8,2,6,0.9210456874635485,0.09121701932520183,0.8159334659576416,0.9794421990712484,1.1233162805438042,983.3333333333334,1000.0,0.38609859665345,5.26018746693929
8,2,9,0.8109927276770273,0.029005432944345433,0.7825415035088857,0.8405222942431768,0.8030202140410742,916.6666666666666,1000.0,0.2553427639517973,3.3862055937449136
8,2,10,0.8567880673540964,0.07293654664799877,0.7855616807937622,0.9313222219546636,1.0430025259653728,825.0,1000.0,0.3215530676834871,4.681609948476155
8,2,12,0.964040305879381,0.05346948661083947,0.9163697560628256,1.021855354309082,0.8417882521947225,858.3333333333334,983.3333333333334,0.17960519365473268,4.538397789001465
8,3,7,0.6337230106194814,0.0325459314136493,0.6037245988845825,0.6683260202407837,0.7594257146120071,941.6666666666666,1000.0,0.45254379163406205,3.640658140182495
8,3,11,0.45675678551197046,0.1973371270280541,0.23117806514104208,0.5974320272604624,0.7912175382177035,966.6666666666666,1000.0,0.7152036010509898,3.607602119445801
8,3,13,0.7390636735492282,0.10014571559239596,0.6451042493184408,0.8444204727808634,0.7461289564768473,941.6666666666666,1000.0,0.321900167148409,2.7399491469065347
8,3,14,0.9638433472977743,0.04376640939578913,0.9274428735176722,1.012403964996338,1.0037899414698284,900.0,1000.0,0.3464196723710917,5.019519964853923
8,4,15,0.6756947305467395,0.07550441859672613,0.6019281496604284,0.752824584643046,0.7484603772560755,841.6666666666666,950.0,0.359983897955016,3.7645579973856607
9,1,1,0.7204575141270956,0.09105964785492177,0.627204974492391,0.809153159459432,0.7013178914785385,716.6666666666666,900.0,0.39256482958271627,2.2315999269485474
9,1,2,1.0664753913879395,0.0855543860676943,1.0035890539487202,1.1638998786608379,1.2352462162574132,950.0,1000.0,0.41358113880181424,6.134364763895671
9,1,4,1.0617479913764531,0.0719742137827394,0.9890793661276499,1.1330070892969768,1.1065401087204616,958.3333333333334,1000.0,0.22321804250094632,4.878090063730876
9,1,8,1.0515297717518275,0.02882302006262609,1.0319889783859253,1.0846322178840637,1.0656707286834717,908.3333333333334,1000.0,0.2329796355213635,4.593062559763591
9,2,3,0.5121668113602532,0.5020817721026537,-0.06423455476760864,0.854285995165507,0.8480482498804728,866.6666666666666,991.6666666666666,0.7695789669490405,3.636840343475342
9,2,5,0.6172838004098998,0.10446413373868307,0.4983961159984271,0.6943924129009247,0.6829235206047694,958.3333333333334,1000.0,0.34466869798089333,2.5010876655578613
9,2,6,0.9062634590599271,0.0835577064415243,0.812729557355245,0.9735352198282877,1.0907719110449154,891.6666666666666,1000.0,0.4017440364560925,4.81730588277181
9,2,9,0.8420203675826391,0.04845651234226388,0.801883265376091,0.8958497444788615,0.7928147166967392,850.0,1000.0,0.25752467456365574,3.1662650903066
9,2,10,0.9929363975922266,0.09211098067374375,0.8980427185694376,1.0819864223400752,1.1023221015930176,858.3333333333334,975.0,0.3298463814982862,4.742684602737427
9,2,12,0.9219742880927191,0.07117792927651262,0.8756252527236938,1.0039290984471638,0.8371753543615341,841.6666666666666,983.3333333333334,0.19905849107232476,4.64019497235616
9,3,7,0.6552356291148397,0.06254119227761826,0.5830499629179636,0.6931513523062071,0.8049627418319384,891.6666666666666,1000.0,0.4537881823600661,3.4776718616485596
9,3,11,0.5564827902449502,0.08086868603783494,0.4847569813330968,0.6441269715627035,0.8590255603194237,975.0,1000.0,0.6211855614704133,3.8878302574157715
9,3,13,0.7107265889644623,0.1102380763414822,0.5846857378880183,0.7891649057467779,0.7429699897766113,808.3333333333334,975.0,0.2819874190365846,2.5007127126057944
9,3,14,0.9627073688639536,0.024602786437926436,0.9391200741132101,0.988213300704956,0.991492748260498,966.6666666666666,1000.0,0.35825346510268113,5.513615767161052
9,4,15,0.6639883696205086,0.03646422382286492,0.639787087837855,0.7059279630581538,0.7746625145276388,958.3333333333334,1000.0,0.37611329891992135,4.329147974650065
10,1,1,0.8341570562786527,0.018705004151850408,0.8165280818939209,0.8537785609563192,0.7958460003137589,958.3333333333334,1000.0,0.39104367589073935,2.787447690963745
10,1,2,1.1171060303846996,0.08244085524684386,1.0521297454833984,1.2098441223303478,1.277401293317477,950.0,1000.0,0.3989219955826245,5.937766710917155
10,1,4,1.0549871491061316,0.08097229526840663,0.9884143869082133,1.1451291640599568,1.0846496274073918,941.6666666666666,1000.0,0.21021178439721996,4.514443238576253
10,1,8,1.0708201262685988,0.08542166576569674,0.9726330836613973,1.1280585527420044,1.0699787239233653,891.6666666666666,1000.0,0.22280249961273857,4.566572984059651
10,2,3,0.8150951729880439,0.14524522038220827,0.6539978484312693,0.9360407789548238,0.8833386103312174,925.0,1000.0,0.4575038888828904,3.9560912450154624
10,2,5,0.6767352985011206,0.07168754083673243,0.5955354372660319,0.7312650680541992,0.6904969811439514,808.3333333333334,941.6666666666666,0.346483548784805,2.429908871650696
