layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
3,2,6,11,2560,1,8210,7352,245,613,925,1000,1.1148031800985336,0.9375526110331217,0.41426569348643333,4.90756893157959
3,2,6,23,2560,1,8210,7352,245,613,925,1000,0.9842953830957413,0.8093853294849396,0.3856532404551191,5.260704517364502
3,2,6,37,2560,1,8210,7352,245,613,875,1000,1.0491344779729843,0.8924100697040558,0.4291053952783861,4.941767692565918
3,2,9,11,2560,1,8210,7352,245,613,975,1000,0.7207478731870651,0.7510768075784048,0.21968631276859085,3.0329229831695557
3,2,9,23,2560,1,8210,7352,245,613,800,1000,0.7698508203029633,0.8055780778328577,0.25135488713595117,2.9590773582458496
3,2,9,37,2560,1,8210,7352,245,613,850,1000,0.7526377886533737,0.7743785679340363,0.2563026938819889,2.912879467010498
3,2,10,11,2560,1,8210,7352,245,613,900,1000,1.008456826210022,0.7780713687340418,0.27393746568815036,4.5861945152282715
3,2,10,23,2560,1,8210,7352,245,613,1000,1000,1.0830216333270073,0.9692321966091791,0.342472755833468,4.788373947143555
3,2,10,37,2560,1,8210,7352,245,613,975,1000,1.0965453386306763,0.9751537442207336,0.2900228947266387,4.565678596496582
3,2,12,11,2560,1,8210,7352,245,613,850,1000,0.8320260047912598,0.8858923514684042,0.21894709141230434,4.059123992919922
3,2,12,23,2560,1,8210,7352,245,613,900,1000,0.7818750739097595,0.9136997063954672,0.1803232633325346,4.08649206161499
3,2,12,37,2560,1,8210,7352,245,613,775,1000,0.7468277812004089,0.9252816339333853,0.17417564602110736,3.9546828269958496
3,3,7,11,2560,1,8210,7352,245,613,900,1000,0.8151865303516388,0.6708147873481115,0.3843841560214977,3.523480176925659
3,3,7,23,2560,1,8210,7352,245,613,975,1000,0.7112476229667664,0.6693665261069933,0.3422896384056029,3.506575584411621
3,3,7,37,2560,1,8210,7352,245,613,750,1000,0.7304673790931702,0.6396630307038625,0.3042481306324964,2.99155330657959
3,3,11,11,2560,1,8210,7352,245,613,850,1000,0.803887203335762,0.6269103238979975,0.3603936570598614,3.339094877243042
3,3,11,23,2560,1,8210,7352,245,613,700,950,0.6096837520599365,0.44137153774499893,0.32522793666314437,2.8105077743530273
3,3,11,37,2560,1,8210,7352,245,613,775,1000,0.7686771601438522,0.7245943546295166,0.319684356014607,3.3601322174072266
3,3,13,11,2560,1,8210,7352,245,613,1000,1000,0.8004150390625,0.7195267677307129,0.29005908169086086,2.810427665710449
3,3,13,23,2560,1,8210,7352,245,613,975,1000,0.8262402936816216,0.6810019661982855,0.280680657749225,2.805239677429199
3,3,13,37,2560,1,8210,7352,245,613,950,1000,0.8027247190475464,0.7483584880828857,0.2841532123277127,2.757801055908203
3,3,14,11,2560,1,8210,7352,245,613,950,1000,0.8985544443130493,0.9106757591168085,0.3547566578883483,4.862690448760986
3,3,14,23,2560,1,8210,7352,245,613,875,1000,0.9454406499862671,0.9105591326951981,0.31046275984378724,4.913268566131592
3,3,14,37,2560,1,8210,7352,245,613,925,1000,0.8573994934558868,0.849537213643392,0.3366621626301999,4.401020050048828
3,4,15,11,2560,1,8210,7352,245,613,925,1000,0.8426922857761383,0.6286516189575195,0.3107947087852841,4.052677154541016
3,4,15,23,2560,1,8210,7352,245,613,950,1000,0.7412916347384453,0.7230958119034767,0.24654267990952766,4.283853530883789
